Item No.,Description,Unit,Rate
,"uksV % voHkwfe ty&ry ls ysdj voHkwfe ty ds uhps bZaV fpukbZ ds xq#Ro dsUnz rd xgjkbZ dks voHkwfe ty ds uhps fu""ikfnr bZaV fpukbZ dh ek=k ?ku ehVj ls xq.kk djds ek=k fudkyh tk,xhA xq#Ro dsUnz dh xgjkbZ 0-1 ehVj rd Bhd fudkyh tk,xh] 0-5 ehVj ;k blls vf/kd dks 0-1 ehVj eku fy;k tk,xk rFkk 0-05 ehVj ls de dks NksM+ fn;k tk,xkA",,
6-25,vfrfjDRk Hqkxrku] xUnh fLFkfr;ksa esa ;k muds uhps bZaV fpukbZ dk dke- [kqyh bZaV fpukbZ dk;Z %,?ku eh,385-25
6-26,"mRd`""V dksfV dh 7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaV fpukbZA [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½",,
,6-26-1 Hkwfery ls dqlhZ ry rd,?ku eh,6849-50
,6-26-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,8565-95
6-27,7-5 oxZ uke dh izekih; bZaVksa ls [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½ bZaV dk;Z-,,
,6-27-1 Hkwfery ls dqlhZ ry rd,?ku eh,5588-65
,6-27-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,7218-75
6-28,12-5 oxZ uke dh e'khu xf<r izekih; bZaVksa ls [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½ bZaV dk;Z-,,
,6-28-1 Hkwfery ls dqlhZ ry rd,?ku eh,6500-85
,6-28-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,8131-00
6-29,"12-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ e'khu xf<r izekih; bZaVksa ls [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½ bZaV dk;Z-",,
,6-29-1 Hkwfery ls dqlhZ ry rd,?ku eh,6769-65
,6-29-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,8339-65
6-30,"Hkkjrh; ekud % 2222 ds vuqlkj e'khu xf<r fNfnzr ,Q ih ,l ¼vçek.kh;½ bZaV fpukbZ 12-5 oxZ uke [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½",,
,6-30-1 Hkwfery ls dqlhZ ry rd,?ku eh,6439-20
,6-30-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,8069-30
6-31,Hkkjrh; ekud % 2222 ds vuqlkj e'khu xf<r fNfnzr izek.kh; bZaV fpukbZ 12-5 oxZ uke [kqyh bZaV fpukbZ esa vkM+h vkSj yEch 10 feeh pkSM+h 12 feeh xgjh ukfy;kWa cukus lfgr Hkwfery ls dqlhZ ry rd iw.kZ lhesaV elkyk esa 1%6 ¼1 lhesaV % 6 eksVh jsr½,,
,6-31-1 Hkwfery ls dqlhZ ry rd,?ku eh,6240-25
,6-31-2 dqlhZ ry ls Åij Q”kZ ikap ry rd,?ku eh,7870-35
6-32,"dqlhZ ry ls Åij ikapos ry ds Q”kZ rd dh lajpuk esa 7-5 oxZ uki dh QykbZ ,s”k ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls fpukbZ dk dke",,
,6-32-1 lhesaV elkyk 1%4 ¼1 lhesaV % 4 eksVh jsr½,?ku eh,8414-65
,6-32-2 lhesaV elkyk 1%6 ¼1 lhesaV % 6 eksVh jsr½,?ku eh,8190-90
6-34,"dqlhZ ry ls Åij Q'kZ ikap ry rd Åij dh lajpuk esa Hkkjrh; ekud % 12894 ds vuq:i 10 oxZ uke dh vkSlr laihM+u lkEkF;Z okyh izek.kh; Q~ykbZ ,W'k bZaVksa ls fpukbZ dk;Z %",,
,6-34-1 lhesaV elkyk 1%4 ¼1 lhesaV % 4 eksVh jsr½,?ku eh,7873-20
,6-34-2 lhesaV elkyk 1%6 ¼1 lhesaV % 6 eksVh jsr½,?ku eh,7676-30
6-35,dqlhZ ry ls Åij Q'kZ ikWap ry rd Åij dh lajpuk esa Hkkjrh; ekud % 4139 ds vuq:i 10 oxZ uke dh vkSj e'khu ls xf<r izekih; dSyf'k;e flfydsV bZaVksa ls fpukbZ dk;Z %,,
,6-35-1 lhesaV elkyk 1%4 ¼1 lhesaV % 4 eksVh jsr½,?ku eh,8589-95
,6-35-2 lhesaV elkyk 1%6 ¼1 lhesaV % 6 eksVh jsr½,?ku eh,8393-05
6-36,"uhoksa vkSj dqlhZ ry esa Hkkjrh; ekud % 4885 ds vuq:i izek.kh;] mHkjh gqbZ vkSj Hkf""er ey ty Q~ykbZ ,W'k feV~Vh dh bZaVksa ls fpukbZ dk;Z %",,
,6-36-1 lhesaV elkyk 1%4 ¼1 lhesaV % 4 eksVh jsr½,?ku eh,6528-70
6-37,"esgjkcksa] uhoksa vkSj dqlhZ ry esa Hkkjrh; ekud % 4885 ds vuq:i izek.kh;] mHkjh gqbZ vkSj Hkf""er ey ty Q~ykbZ ,W'k feV~Vh dh bZaVksa ls fpukbZ dk;Z % lhesaV elkyk 1%3 ¼1 lhesaV % 3 eghu jsr½",?ku eh,11763-25
6-38,"dqlhZ ry ls Åij Q'kZ ikWap ry rd dh lajpuk esa vkWVksDysOM % okfrr lhesaV ds] 1%4 ¼1 lhesaV % 4 eksVh jsr½ elkys ls cus 100 feeh ?kus , lh lh CykWdksa dh O;oLFkk djuk vkSj mUgsa yxkukA blesa fpukbZ ds izR;sd rhljs jn~ns esa 6",,
,feeh O;kl okyh 2 u-uje bLikr NM+ksa dh O;oLFkk djuk vkSj mUgsa ;FkkLFkku yxkus dh nj 'kkfey gSA,?ku eh,8890-80
6-40,dqlhZ ry ls Åij Q'kZ ikap ry rd dh lajpuk esa fuekZrk ds fofufnZ'kksa ds vuqlkj dSylkbV QkWlQksj ftIle ds CykWd tks fpeVsnkj vkSj ukyhnkj gkas] ftudk vkdkj 666x500x100 feeh gks rFkk 100 feeh ?kus gkas] ds ftIle iSuy foHkktdksa dh O;oLFkk djuk vkSj yxkukA ftIle ds bu CykWdka dh laihM+u lkeF;Z 9-3 fdyksxzke@oxZ ls-eh- gksxh-,oxZ eh,870-10
6-41,"vfrfjDr Hkqxrku] Q'kZ ikWap ry ls Åij dh lajpuk esa] izR;sd pkj ryksa ds fy, vFkok vkf'kad :i ls ftIle ds iSuy foHkktdksa ds fy,-",oxZ eh,149-30
6-44,"7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls dqlhZ =k.k dh 7 lseh pkSM+h] 11-4 lseh xgjh bZaV dh fdukjcanh] lhesaV elkyk 1%4 ¼1 lhesaV % 4 eghu jsr½ HkjkbZ lfgr-",ehVj,55-80
