Item No.,Description,Unit,Rate
6-7,"Åij dh lajpuk esa f>jhnkj nhokjksa dh 5 ls 7-5 lseh pkSM+h f>jhcanh djus ds fy, 1%3 ¼ 1 lhesaV % 3 eksVh jsr½ dslhesaV elkys ls vk/kh bZaV dh 7-5 oxZ uke dh ,Q ih ,l ¼vçek.kh;½ feV~Vh dh lkekU; idh bZaVksa ls fpukbZ dh O;oLFkk djuk] 10 lseh@11-4 lseh pkSM+s fcVwesuh uens Vkbi 3 xzsM&1 lfgr laiw.kZ-",ehVj,273-45
6-8,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa 7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaV fpukbZ dk dke] 7 lseh eksVk] 1%3 ¼1 lhesaV % 3 eksVh jsr½ dslhesaV elkys ls-",oxZ eh,819-15
6-9,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa 6 ehVj rd ikVokyh vux<+ MkaVksa esa 7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls fpukbZ dk dke 1%3 ¼1 lhesaV % 3 eksVh jsr½ dslhesaV elkys ls vkSj <wykcanh",,
,",oe~ r[rkcanh lfgr lEiw.kZ-",?ku eh,13378-10
6-10,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa 6 ehVj rd ikVokyh x<+h MkaVksa esa 7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls fpukbZ dk dke 1%3 ¼1 lhesaV % 3 eksVh jsr½ dslhesaV elkys ls vkSj <wykcanh ,oe~ r[rkcanh lfgr lEiw.kZ-",?ku eh,16714-70
6-11,"vfrfjDr Hkqxrku] 6 ehVj ls vf/kd ikVokyh MkVksa esa lkjh r[rkcanh]dkcys] vkSj ifUu;kWa yxkus vkSj ;g lc gVkus esa vf/kd [kpZ ds fy,n ¼ryps dk {ks=Qy ukik tk,xk½-",oxZ eh,575-25
,vk/kh bZaV dh fpukbZ dk dke,,
6-12,"uhao o dqlhZ esa 7-5 oxZ uke dh ,Q ih ,l ¼vçek.kh;½ feV~Vh dh lkekU; idh bZaVksa ls vk/kh bZaV dh fpukbZ dk dke",,
,6-12-1 1%3 ¼ 1 lhesaV % 3 eksVh jsr½ ds lhesaV elkys ls-,oXkZ eh,862-90
,6-12-2 1%4 ¼ 1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,oXkZ eh,837-85
6-13,"Q'kZ ikWap ry ls Åij dh lajpuk esa 7-5 oxZ uke dh ,Q ih ,l ¼vçek.kh;½ feV~Vh dh lkekU; idh bZaVksa ls vk/kh bZaV dh fpukbZ dk dke",,
,6-13-1 1%3 ¼ 1 lhesaV % 3 eksVh jsr½ ds lhesaV elkys ls-,oXkZ eh,1043-10
,6-13-2 1%4 ¼ 1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,oXkZ eh,1018-05
6-14,"vfrfjDr Hkqxrku] Q'kZ ikWap ry ls Åij dh lajpuk esa] izR;sd pkj ryksa ds fy, vFkok vkf'kad :i ls vk/kh bZaV dh fpukbZ ds dke esa ;kaf=d lk/kuksa ls lkexzh mBk, tkus ds fy,",oxZ eh,12-60
6-15,vfrfjDr Hkqxrku] vk/kh bZaV dh fpukbZ esa izR;sd rhljs jn~ns esa 6 feeh O;kl dh 2 uje NM+ksa dh O;oLFkk djuk vkSj ;FkkLFkku j[kuk,oxZ eh,86-45
,bZaV&VkbZy dh fpukbZ dk dke,,
6-16,"uhaoksa vkSj dqlhZ esa 10 oxZ uke dh feV~Vh dh lkekU; idh ,Q ih ,l ¼vizek.kh;½ bZaV&Vkbyksa dh fpukbZ dk dke",,
,6-16-1 1%4 ¼ 1 lhesaV % 4 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,10321-40
,6-16-2 1%6 ¼ 1 lhesaV % 6 eksVh jsr½ ds lhesaV elkys ls-,?ku eh,9963-45
6-17,uhoksa vkSj dqlhZ esa 1%6 ¼1 lhesaV % 6 eksVh jsr ½ ds lhesaV elkys ls Hkkjrh; ekud % 2690 ¼Hkkx&1½ ds vuqlkj 12-5 oxZ uke dh] e'khu ls <fyr feV~Vh dh lkekU; idh bZaV&Vkbyksa dh fpukbZ dk dk;Z,?ku eh,9963-45
6-18,"dqlhZ ry ls Åij dh lajpuk esa 1%6 ¼1 lhesaV % 6 eksVh jsr ½ ds lhesaV elkys ls Q'kZ ikWap ry rd 10 oxZ uke dh] feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls bZaV VkbZyksa dh fpukbZ dk dke e'khu ls <fyr bZaV&Vkbyksa dh fpukbZ dk dk;Z",?ku eh,11659-70
6-20,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa vux<+ MkaVksa esa 10 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls fpukbZ dk dke 1%4 ¼1 lhesaV % 4 eksVh jsr½ dslhesaV elkys ls vkSj <wykcanh ,oe~ r[rkcanh lfgr lEiw.kZ-",?ku eh,16791-90
6-21,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa x<+h+ MkaVksa esa 10 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa VkbZyksa ls fpukbZ dk dke 1%4 ¼1",,
,"lhesaV % 4 eksVh jsr½ dslhesaV elkys ls vkSj <wykcanh ,oe~ r[rkcanh lfgr lEiw.kZ-",?ku eh,20135-45
6-22,"dqlhZ ry ls Åij ikapos ry rd dh lajpuk esa 10 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa ls fpukbZ dk dke 1%3 ¼1 lhesaV % 3 eksVh jsr½ ds lhesaV elkys ls 5 lseh eksVk bZaV VkbZy dh fpukbZ dk dke >jks[kk fpukbZ dk dk;Z >jks[kk fpukbZ dk;Z",oxZ eh,841-85
6-23,"7-5 oxZ uke dh feêh dh lkekU; idh ,Q-ih-,l- ¼vçek.kh;½ bZaVksa dks 1%4 ¼1 lhesaV % 4 eksVh jsr½ dslhesaV elkys ls yxkdj 10@11-4 lseh eksVk >jks[kk fpukbZ dk dke",oxZ eh,645-95
6-24,"vfrfjDr Hkqxrku] ikuh esa ;k mlds uhps vkSj@;k cgrh dhpM+ esa bZaV fpukbZ dk dke djus] ikuh dk ifEiax rFkk myhpus ;k dhp fudkyus vkfn lc ds fy,",?ku eh@izfr eh xgjkbZ,905-50
